Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_pipeline Clock Setup: 'sysclk'

Slack	Actual fmax (period)	From	To	From Clock	To Clock	Required Setup Relationship	Required Longest P2P Time	Actual Longest P2P Time
11.242 ns	36.34 MHz ( period = 27.516 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[10]	sysclk	sysclk	25.000 ns	20.561 ns	9.319 ns
11.249 ns	36.36 MHz ( period = 27.502 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|LU32_out[4]	sysclk	sysclk	25.000 ns	20.562 ns	9.313 ns
11.261 ns	36.39 MHz ( period = 27.478 ns )	MEM_WB:MEM_WB1|AddrC_out[2]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.197 ns	16.936 ns
11.278 ns	36.44 MHz ( period = 27.444 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[24]	sysclk	sysclk	25.000 ns	20.541 ns	9.263 ns
11.312 ns	36.53 MHz ( period = 27.376 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[7]	sysclk	sysclk	25.000 ns	20.545 ns	9.233 ns
11.323 ns	36.56 MHz ( period = 27.354 ns )	EX_MEM:EX_MEM1|AddrC_out[4]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.190 ns	16.867 ns
11.343 ns	36.61 MHz ( period = 27.314 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[19]	sysclk	sysclk	25.000 ns	20.559 ns	9.216 ns
11.346 ns	36.62 MHz ( period = 27.308 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[30]	sysclk	sysclk	25.000 ns	20.559 ns	9.213 ns
11.359 ns	36.65 MHz ( period = 27.282 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[20]	sysclk	sysclk	25.000 ns	20.543 ns	9.184 ns
11.370 ns	36.68 MHz ( period = 27.260 ns )	ID_EX:ID_EX1|Rt_out[0]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.197 ns	16.827 ns
11.372 ns	36.69 MHz ( period = 27.256 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[14]	sysclk	sysclk	25.000 ns	20.553 ns	9.181 ns
11.386 ns	36.73 MHz ( period = 27.228 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[9]	sysclk	sysclk	25.000 ns	20.561 ns	9.175 ns
11.412 ns	36.80 MHz ( period = 27.176 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|LU32_out[8]	sysclk	sysclk	25.000 ns	20.559 ns	9.147 ns
11.414 ns	36.80 MHz ( period = 27.172 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|LU32_out[6]	sysclk	sysclk	25.000 ns	20.559 ns	9.145 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[16]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[19]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[17]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[20]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[30]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[18]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[21]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[29]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[28]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[27]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[26]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[25]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[24]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[23]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[22]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.425 ns	36.83 MHz ( period = 27.150 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[0]	sysclk	sysclk	25.000 ns	20.549 ns	9.124 ns
11.483 ns	36.99 MHz ( period = 27.034 ns )	MEM_WB:MEM_WB1|AddrC_out[3]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.197 ns	16.714 ns
11.485 ns	37.00 MHz ( period = 27.030 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[18]	sysclk	sysclk	25.000 ns	20.543 ns	9.058 ns
11.522 ns	37.10 MHz ( period = 26.956 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[31]	sysclk	sysclk	25.000 ns	20.533 ns	9.011 ns
11.526 ns	37.11 MHz ( period = 26.948 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|LU32_out[7]	sysclk	sysclk	25.000 ns	20.545 ns	9.019 ns
11.548 ns	37.17 MHz ( period = 26.904 ns )	ID_EX:ID_EX1|Rt_out[1]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.197 ns	16.649 ns
11.597 ns	37.31 MHz ( period = 26.806 ns )	ALU:ALU1|CMP:cmp|S[0]	ID_EX:ID_EX1|DataBusB_out[23]	sysclk	sysclk	25.000 ns	20.506 ns	8.909 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[11]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[13]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[15]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[10]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[14]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[12]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[8]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[7]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[6]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[4]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[3]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[2]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[9]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[5]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.615 ns	37.36 MHz ( period = 26.770 ns )	ALU:ALU1|Shift:shift|S[0]	IF_ID:IF_ID1|pc_plus_4_out[1]	sysclk	sysclk	25.000 ns	20.551 ns	8.936 ns
11.618 ns	37.36 MHz ( period = 26.764 ns )	ALU:ALU1|CMP:cmp|S[0]	ID_EX:ID_EX1|DataBusB_out[8]	sysclk	sysclk	25.000 ns	20.515 ns	8.897 ns
11.651 ns	37.46 MHz ( period = 26.698 ns )	EX_MEM:EX_MEM1|Opcode_out[0]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.201 ns	16.550 ns
11.655 ns	37.47 MHz ( period = 26.690 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[2]	sysclk	sysclk	25.000 ns	20.561 ns	8.906 ns
11.656 ns	37.47 MHz ( period = 26.688 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[16]	sysclk	sysclk	25.000 ns	20.558 ns	8.902 ns
11.658 ns	37.48 MHz ( period = 26.684 ns )	ALU:ALU1|Logic:logic|S[0]	ID_EX:ID_EX1|DataBusB_out[23]	sysclk	sysclk	25.000 ns	20.102 ns	8.444 ns
11.673 ns	37.52 MHz ( period = 26.654 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusA_out[26]	sysclk	sysclk	25.000 ns	20.578 ns	8.905 ns
11.679 ns	37.53 MHz ( period = 26.642 ns )	ALU:ALU1|CMP:cmp|S[0]	ID_EX:ID_EX1|LU32_out[9]	sysclk	sysclk	25.000 ns	20.509 ns	8.830 ns
11.679 ns	37.53 MHz ( period = 26.642 ns )	ALU:ALU1|Logic:logic|S[0]	ID_EX:ID_EX1|DataBusB_out[8]	sysclk	sysclk	25.000 ns	20.111 ns	8.432 ns
11.682 ns	37.54 MHz ( period = 26.636 ns )	ALU:ALU1|CMP:cmp|S[0]	ID_EX:ID_EX1|LU32_out[14]	sysclk	sysclk	25.000 ns	20.509 ns	8.827 ns
11.687 ns	37.56 MHz ( period = 26.626 ns )	ALU:ALU1|CMP:cmp|S[0]	ID_EX:ID_EX1|DataBusB_out[5]	sysclk	sysclk	25.000 ns	20.517 ns	8.830 ns
11.700 ns	37.59 MHz ( period = 26.600 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[26]	sysclk	sysclk	25.000 ns	20.556 ns	8.856 ns
11.703 ns	37.60 MHz ( period = 26.594 ns )	ALU:ALU1|Shift:shift|S[0]	ID_EX:ID_EX1|DataBusB_out[13]	sysclk	sysclk	25.000 ns	20.556 ns	8.853 ns
11.705 ns	37.61 MHz ( period = 26.590 ns )	ID_EX:ID_EX1|Rt_out[2]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	25.000 ns	28.197 ns	16.492 ns
11.740 ns	37.71 MHz ( period = 26.520 ns )	ALU:ALU1|Logic:logic|S[0]	ID_EX:ID_EX1|LU32_out[9]	sysclk	sysclk	25.000 ns	20.105 ns	8.365 ns
Timing analysis restricted to 200 rows.	To change the limit use Settings (Assignments menu)							
