Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_pipeline Clock Hold: 'sysclk'

Minimum Slack	From	To	From Clock	To Clock	Required Hold Relationship	Required Shortest P2P Time	Actual Shortest P2P Time
32.245 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[29]	sysclk	sysclk	-25.000 ns	-29.940 ns	2.305 ns
32.248 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[4]	sysclk	sysclk	-25.000 ns	-29.943 ns	2.305 ns
32.248 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[2]	sysclk	sysclk	-25.000 ns	-29.943 ns	2.305 ns
32.263 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[25]	sysclk	sysclk	-25.000 ns	-29.934 ns	2.329 ns
32.273 ns	ALU:ALU1|Shift:shift|S[7]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a10~portb_address_reg5	sysclk	sysclk	-25.000 ns	-28.977 ns	3.296 ns
32.289 ns	ALU:ALU1|Shift:shift|S[4]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a0~portb_address_reg2	sysclk	sysclk	-25.000 ns	-28.970 ns	3.319 ns
32.299 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[2]	sysclk	sysclk	-25.000 ns	-30.248 ns	2.051 ns
32.300 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[8]	sysclk	sysclk	-25.000 ns	-30.247 ns	2.053 ns
32.300 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[6]	sysclk	sysclk	-25.000 ns	-30.247 ns	2.053 ns
32.300 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[4]	sysclk	sysclk	-25.000 ns	-30.248 ns	2.052 ns
32.326 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[11]	sysclk	sysclk	-25.000 ns	-29.937 ns	2.389 ns
32.327 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[13]	sysclk	sysclk	-25.000 ns	-29.939 ns	2.388 ns
32.334 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[7]	sysclk	sysclk	-25.000 ns	-29.942 ns	2.392 ns
32.343 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[18]	sysclk	sysclk	-25.000 ns	-30.236 ns	2.107 ns
32.349 ns	ALU:ALU1|Logic:logic|S[6]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a10~portb_address_reg4	sysclk	sysclk	-25.000 ns	-29.589 ns	2.760 ns
32.358 ns	ALU:ALU1|Shift:shift|S[5]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a0~portb_address_reg3	sysclk	sysclk	-25.000 ns	-28.969 ns	3.389 ns
32.392 ns	ALU:ALU1|Logic:logic|S[6]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a0~portb_address_reg4	sysclk	sysclk	-25.000 ns	-29.598 ns	2.794 ns
32.424 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[27]	sysclk	sysclk	-25.000 ns	-30.245 ns	2.179 ns
32.440 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[1]	sysclk	sysclk	-25.000 ns	-30.239 ns	2.201 ns
32.446 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[8]	sysclk	sysclk	-25.000 ns	-29.942 ns	2.504 ns
32.447 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[6]	sysclk	sysclk	-25.000 ns	-29.942 ns	2.505 ns
32.471 ns	ALU:ALU1|Logic:logic|S[3]	PC:PC1|pc[3]	sysclk	sysclk	-25.000 ns	-29.631 ns	2.840 ns
32.476 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[15]	sysclk	sysclk	-25.000 ns	-29.938 ns	2.538 ns
32.487 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[1]	sysclk	sysclk	-25.000 ns	-29.934 ns	2.553 ns
32.489 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[3]	sysclk	sysclk	-25.000 ns	-29.939 ns	2.550 ns
32.493 ns	Control:Control1|PCSrc[0]	PC:PC1|pc[1]	sysclk	sysclk	-25.000 ns	-30.237 ns	2.256 ns
32.494 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[17]	sysclk	sysclk	-25.000 ns	-30.242 ns	2.252 ns
32.494 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[21]	sysclk	sysclk	-25.000 ns	-30.242 ns	2.252 ns
32.497 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[25]	sysclk	sysclk	-25.000 ns	-30.239 ns	2.258 ns
32.498 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[28]	sysclk	sysclk	-25.000 ns	-29.936 ns	2.562 ns
32.501 ns	ALU:ALU1|Shift:shift|S[9]	DataMem:RAM1|altsyncram:RAMDATA_rtl_0|altsyncram_vce1:auto_generated|ram_block1a10~portb_address_reg7	sysclk	sysclk	-25.000 ns	-28.960 ns	3.541 ns
32.501 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[23]	sysclk	sysclk	-25.000 ns	-30.239 ns	2.262 ns
32.511 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[30]	sysclk	sysclk	-25.000 ns	-29.933 ns	2.578 ns
32.518 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[26]	sysclk	sysclk	-25.000 ns	-30.238 ns	2.280 ns
32.532 ns	ALU:ALU1|Logic:logic|S[13]	PC:PC1|pc[13]	sysclk	sysclk	-25.000 ns	-29.637 ns	2.895 ns
32.537 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[13]	sysclk	sysclk	-25.000 ns	-30.244 ns	2.293 ns
32.539 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[29]	sysclk	sysclk	-25.000 ns	-30.245 ns	2.294 ns
32.544 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[0]	sysclk	sysclk	-25.000 ns	-30.251 ns	2.293 ns
32.564 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[22]	sysclk	sysclk	-25.000 ns	-30.245 ns	2.319 ns
32.568 ns	Control:Control1|PCSrc[2]	PC:PC1|pc[9]	sysclk	sysclk	-25.000 ns	-29.941 ns	2.627 ns
32.580 ns	Control:Control1|PCSrc[1]	PC:PC1|pc[12]	sysclk	sysclk	-25.000 ns	-30.248 ns	2.332 ns
Timing analysis restricted to 200 rows.	To change the limit use Settings (Assignments menu)						
