Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_single Clock Setup: 'sysclk'

Slack	Actual fmax (period)	From	To	From Clock	To Clock	Required Setup Relationship	Required Longest P2P Time	Actual Longest P2P Time
23.754 ns	19.05 MHz ( period = 52.492 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[6][10]	sysclk	sysclk	50.000 ns	49.292 ns	25.538 ns
23.755 ns	19.05 MHz ( period = 52.490 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[22][10]	sysclk	sysclk	50.000 ns	49.292 ns	25.537 ns
23.756 ns	19.05 MHz ( period = 52.488 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[8][10]	sysclk	sysclk	50.000 ns	49.278 ns	25.522 ns
23.760 ns	19.05 MHz ( period = 52.480 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][21]	sysclk	sysclk	50.000 ns	47.712 ns	23.952 ns
23.764 ns	19.06 MHz ( period = 52.472 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][21]	sysclk	sysclk	50.000 ns	47.712 ns	23.948 ns
23.765 ns	19.06 MHz ( period = 52.470 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[1][21]	sysclk	sysclk	50.000 ns	49.267 ns	25.502 ns
23.768 ns	19.06 MHz ( period = 52.464 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[31][10]	sysclk	sysclk	50.000 ns	49.293 ns	25.525 ns
23.769 ns	19.06 MHz ( period = 52.462 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][21]	sysclk	sysclk	50.000 ns	49.267 ns	25.498 ns
23.769 ns	19.06 MHz ( period = 52.462 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[29][10]	sysclk	sysclk	50.000 ns	49.293 ns	25.524 ns
23.800 ns	19.08 MHz ( period = 52.400 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][1]	sysclk	sysclk	50.000 ns	47.707 ns	23.907 ns
23.803 ns	19.09 MHz ( period = 52.394 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[31][1]	sysclk	sysclk	50.000 ns	47.707 ns	23.904 ns
23.805 ns	19.09 MHz ( period = 52.390 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[30][19]	sysclk	sysclk	50.000 ns	47.699 ns	23.894 ns
23.806 ns	19.09 MHz ( period = 52.388 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[20][19]	sysclk	sysclk	50.000 ns	47.699 ns	23.893 ns
23.810 ns	19.09 MHz ( period = 52.380 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[30][19]	sysclk	sysclk	50.000 ns	49.254 ns	25.444 ns
23.811 ns	19.09 MHz ( period = 52.378 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[20][19]	sysclk	sysclk	50.000 ns	49.254 ns	25.443 ns
23.813 ns	19.09 MHz ( period = 52.374 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[9][25]	sysclk	sysclk	50.000 ns	47.710 ns	23.897 ns
23.813 ns	19.09 MHz ( period = 52.374 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[13][25]	sysclk	sysclk	50.000 ns	47.710 ns	23.897 ns
23.818 ns	19.10 MHz ( period = 52.364 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[9][25]	sysclk	sysclk	50.000 ns	49.265 ns	25.447 ns
23.818 ns	19.10 MHz ( period = 52.364 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[13][25]	sysclk	sysclk	50.000 ns	49.265 ns	25.447 ns
23.822 ns	19.10 MHz ( period = 52.356 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[25][1]	sysclk	sysclk	50.000 ns	47.726 ns	23.904 ns
23.824 ns	19.10 MHz ( period = 52.352 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[27][1]	sysclk	sysclk	50.000 ns	47.726 ns	23.902 ns
23.831 ns	19.11 MHz ( period = 52.338 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][25]	sysclk	sysclk	50.000 ns	47.746 ns	23.915 ns
23.836 ns	19.11 MHz ( period = 52.328 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[1][25]	sysclk	sysclk	50.000 ns	49.301 ns	25.465 ns
23.863 ns	19.13 MHz ( period = 52.274 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[2][1]	sysclk	sysclk	50.000 ns	49.262 ns	25.399 ns
23.865 ns	19.13 MHz ( period = 52.270 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[29][9]	sysclk	sysclk	50.000 ns	47.738 ns	23.873 ns
23.866 ns	19.13 MHz ( period = 52.268 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[31][1]	sysclk	sysclk	50.000 ns	49.262 ns	25.396 ns
23.871 ns	19.14 MHz ( period = 52.258 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[31][9]	sysclk	sysclk	50.000 ns	47.738 ns	23.867 ns
23.874 ns	19.14 MHz ( period = 52.252 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[18][3]	sysclk	sysclk	50.000 ns	47.709 ns	23.835 ns
23.879 ns	19.14 MHz ( period = 52.242 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[18][3]	sysclk	sysclk	50.000 ns	49.264 ns	25.385 ns
23.882 ns	19.14 MHz ( period = 52.236 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][9]	sysclk	sysclk	50.000 ns	47.741 ns	23.859 ns
23.883 ns	19.14 MHz ( period = 52.234 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[25][9]	sysclk	sysclk	50.000 ns	47.744 ns	23.861 ns
23.885 ns	19.15 MHz ( period = 52.230 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[25][1]	sysclk	sysclk	50.000 ns	49.281 ns	25.396 ns
23.886 ns	19.15 MHz ( period = 52.228 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[22][9]	sysclk	sysclk	50.000 ns	47.737 ns	23.851 ns
23.887 ns	19.15 MHz ( period = 52.226 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[27][1]	sysclk	sysclk	50.000 ns	49.281 ns	25.394 ns
23.887 ns	19.15 MHz ( period = 52.226 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[27][9]	sysclk	sysclk	50.000 ns	47.744 ns	23.857 ns
23.887 ns	19.15 MHz ( period = 52.226 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[23][9]	sysclk	sysclk	50.000 ns	47.741 ns	23.854 ns
23.888 ns	19.15 MHz ( period = 52.224 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][1]	sysclk	sysclk	50.000 ns	47.724 ns	23.836 ns
23.889 ns	19.15 MHz ( period = 52.222 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[6][9]	sysclk	sysclk	50.000 ns	47.737 ns	23.848 ns
23.900 ns	19.16 MHz ( period = 52.200 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[20][9]	sysclk	sysclk	50.000 ns	49.279 ns	25.379 ns
23.903 ns	19.16 MHz ( period = 52.194 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[12][9]	sysclk	sysclk	50.000 ns	49.279 ns	25.376 ns
23.908 ns	19.16 MHz ( period = 52.184 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[21][3]	sysclk	sysclk	50.000 ns	47.718 ns	23.810 ns
23.909 ns	19.16 MHz ( period = 52.182 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][3]	sysclk	sysclk	50.000 ns	47.718 ns	23.809 ns
23.911 ns	19.17 MHz ( period = 52.178 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[8][9]	sysclk	sysclk	50.000 ns	49.278 ns	25.367 ns
23.913 ns	19.17 MHz ( period = 52.174 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[21][3]	sysclk	sysclk	50.000 ns	49.273 ns	25.360 ns
23.914 ns	19.17 MHz ( period = 52.172 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[10][3]	sysclk	sysclk	50.000 ns	49.273 ns	25.359 ns
23.915 ns	19.17 MHz ( period = 52.170 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[4][9]	sysclk	sysclk	50.000 ns	49.278 ns	25.363 ns
23.928 ns	19.18 MHz ( period = 52.144 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[29][1]	sysclk	sysclk	50.000 ns	47.734 ns	23.806 ns
23.930 ns	19.18 MHz ( period = 52.140 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[11][9]	sysclk	sysclk	50.000 ns	49.288 ns	25.358 ns
23.931 ns	19.18 MHz ( period = 52.138 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[16][1]	sysclk	sysclk	50.000 ns	47.734 ns	23.803 ns
23.931 ns	19.18 MHz ( period = 52.138 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[15][9]	sysclk	sysclk	50.000 ns	49.288 ns	25.357 ns
23.941 ns	19.19 MHz ( period = 52.118 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[13][1]	sysclk	sysclk	50.000 ns	47.722 ns	23.781 ns
23.951 ns	19.19 MHz ( period = 52.098 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[13][14]	sysclk	sysclk	50.000 ns	47.722 ns	23.771 ns
23.951 ns	19.19 MHz ( period = 52.098 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[26][1]	sysclk	sysclk	50.000 ns	49.279 ns	25.328 ns
23.954 ns	19.20 MHz ( period = 52.092 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][1]	sysclk	sysclk	50.000 ns	47.718 ns	23.764 ns
23.956 ns	19.20 MHz ( period = 52.088 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[13][14]	sysclk	sysclk	50.000 ns	49.277 ns	25.321 ns
23.980 ns	19.22 MHz ( period = 52.040 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[9][9]	sysclk	sysclk	50.000 ns	49.289 ns	25.309 ns
23.981 ns	19.22 MHz ( period = 52.038 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][21]	sysclk	sysclk	50.000 ns	47.720 ns	23.739 ns
23.981 ns	19.22 MHz ( period = 52.038 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][21]	sysclk	sysclk	50.000 ns	47.720 ns	23.739 ns
23.982 ns	19.22 MHz ( period = 52.036 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[13][9]	sysclk	sysclk	50.000 ns	49.289 ns	25.307 ns
23.986 ns	19.22 MHz ( period = 52.028 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[26][21]	sysclk	sysclk	50.000 ns	49.275 ns	25.289 ns
23.986 ns	19.22 MHz ( period = 52.028 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[10][21]	sysclk	sysclk	50.000 ns	49.275 ns	25.289 ns
Timing analysis restricted to 200 rows.	To change the limit use Settings (Assignments menu)							
